Date,Rate
2018-11-15,2.17938
2018-11-16,2.17538
2018-11-19,2.18075
2018-11-20,2.17288
2018-11-21,2.1805
2018-11-23,2.177
2018-11-26,2.183
2018-11-27,2.1785
2018-11-28,2.1825
2018-11-29,2.18275
2018-11-30,2.1775
2018-12-03,2.18188
2018-12-04,2.17613
2018-12-05,2.17188
2018-12-06,2.18238
2018-12-07,2.18088
2018-12-10,2.182
2018-12-11,2.18213
2018-12-12,2.18475
2018-12-13,2.18438
2018-12-14,2.18475
2018-12-17,2.18125
2018-12-18,2.18025
2018-12-19,2.18175
2018-12-20,2.38788
2018-12-21,2.39163
2018-12-24,2.38988
2018-12-27,2.391
2018-12-28,2.39238
2018-12-31,2.37825
2019-01-02,2.38675
2019-01-03,2.39188
2019-01-04,2.394
2019-01-07,2.39275
2019-01-08,2.39125
2019-01-09,2.39075
2019-01-10,2.39413
2019-01-11,2.38938
2019-01-14,2.39013
2019-01-15,2.38675
2019-01-16,2.38488
2019-01-17,2.38463
2019-01-18,2.38388
2019-01-21,2.379755
2019-01-22,2.37563
2019-01-23,2.38413
2019-01-24,2.3845
2019-01-25,2.38475
2019-01-28,2.38488
2019-01-29,2.38438
2019-01-30,2.38388
2019-01-31,2.3835
2019-02-01,2.374
2019-02-04,2.38413
2019-02-05,2.38238
2019-02-06,2.38325
2019-02-07,2.38313
2019-02-08,2.38575
2019-02-11,2.38625
2019-02-12,2.3835
2019-02-13,2.38438
2019-02-14,2.38275
2019-02-15,2.387
2019-02-18,2.3825
2019-02-19,2.378
2019-02-20,2.38463
2019-02-21,2.3825
2019-02-22,2.38788
2019-02-25,2.38863
2019-02-26,2.38863
2019-02-27,2.38825
2019-02-28,2.38275
2019-03-01,2.38488
2019-03-04,2.38238
2019-03-05,2.39063
2019-03-06,2.39063
2019-03-07,2.38975
2019-03-08,2.38688
2019-03-11,2.39025
2019-03-12,2.39038
2019-03-13,2.39013
2019-03-14,2.39038
2019-03-15,2.39038
2019-03-18,2.38963
2019-03-19,2.39013
2019-03-20,2.38625
2019-03-21,2.38725
2019-03-22,2.389
2019-03-25,2.38938
2019-03-26,2.39388
2019-03-27,2.39213
2019-03-28,2.39275
2019-03-29,2.382
2019-04-01,2.38813
2019-04-02,2.38025
2019-04-03,2.38613
2019-04-04,2.39413
2019-04-05,2.39375
2019-04-08,2.39175
2019-04-09,2.393
2019-04-10,2.3885
2019-04-11,2.3885
2019-04-12,2.39225
2019-04-15,2.39263
2019-04-16,2.38913
2019-04-17,2.38563
2019-04-18,2.39113
2019-04-19,2.39694
2019-04-22,2.40275
2019-04-23,2.40275
2019-04-24,2.39413
2019-04-25,2.39938
