Strike,Last Price,Bid,Ask,Volatility
250,66.6,66.52,67.41,0.2245
265,50.78,54.24,54.73,0.2113
270,42.63,50.23,50.67,0.2069
275,44.02,46.28,46.72,0.2027
280,42.66,42.39,42.79,0.1976
285,33.15,38.62,39,0.1928
286,33.45,37.86,38.24,0.1917
287,35.49,37.1,37.46,0.1904
288,34.21,36.37,36.74,0.1895
289,34.2,35.62,35.99,0.1884
290,22.76,33.94,35.83,0.1925
292,32,33.43,33.78,0.1851
293,20.96,30.97,31.41,0.1695
294,20.37,31.09,32.91,0.1879
295,29.8,31.3,31.63,0.1819
296,22.3,29.67,31.47,0.1855
297,18.62,28.97,30.76,0.1843
298,21.54,29.18,29.5,0.1784
299,21.02,27.58,29.35,0.1819
300,27.77,27.79,28.06,0.1757
301,19.65,27.09,27.4,0.1748
302,24.2,26.4,26.69,0.1734
303,24.01,25.72,26.01,0.1722
304,22.33,25.04,25.33,0.171
305,20.85,24.38,24.67,0.1698
306,24.03,23.7,23.99,0.1685
307,20.9,23.05,23.32,0.1672
308,20.5,22.38,22.66,0.1659
309,20.45,21.75,22.01,0.1646
310,21.29,21.1,21.39,0.1635
311,20.2,20.47,20.75,0.1622
312,13.75,19.84,20.11,0.1609
313,11.6,17.97,18.23,0.1496
315,16.28,18.03,18.27,0.1571
320,14.86,15.12,15.35,0.1507
325,11.4,12.45,12.65,0.1444
330,9.82,10.02,10.23,0.1384
335,7.84,7.92,8.1,0.1328
340,5.61,6.09,6.28,0.1277
345,4.36,4.59,4.77,0.1231
350,3.39,3.41,3.58,0.1194
