Strike,Last Price,Bid,Ask,Volatility
250,6.2,5.52,5.86,0.2297
255,7,6.34,6.57,0.2251
260,7.8,7.1,7.34,0.2203
265,8.15,7.81,8.17,0.2154
270,9.17,8.72,9.08,0.2106
275,10.1,9.71,10.07,0.2052
280,11.6,11,11.12,0.2001
285,12.58,11.88,12.27,0.1944
286,12.59,12.11,12.5,0.1933
287,20.9,13.48,13.69,0.2016
288,16.69,12.59,12.99,0.1918
289,15.85,12.83,13.24,0.19
290,13.57,13.09,13.5,0.1888
291,14.96,13.35,13.76,0.1876
292,15.54,13.6,14.02,0.1864
293,15.36,13.86,14.3,0.1853
294,14.64,14.14,14.56,0.1841
295,15.63,14.4,14.82,0.1829
296,19.4,14.67,15.12,0.1816
297,15.9,14.95,15.39,0.1804
298,16.79,15.24,15.68,0.1792
299,20.18,15.54,15.96,0.178
300,16.26,15.86,16.27,0.1768
301,18.74,16.13,16.55,0.1755
302,16.98,16.6,16.86,0.1742
303,19.05,16.91,17.18,0.1731
304,18.84,17.06,17.5,0.1716
305,17.84,17.54,17.82,0.1704
306,19.63,17.71,18.15,0.1691
307,19.2,18.2,18.48,0.1678
308,20.1,18.39,18.82,0.1664
309,19.21,18.74,19.16,0.1652
310,19.69,19.12,19.51,0.1629
315,21.3,21.05,21.37,0.1625
320,23.5,23.04,23.46,0.1614
325,26.92,25.35,25.78,0.1574
330,29.67,27.18,29.04,0.1508
350,50,40.44,42.44,0.1448
